Nome_rivista,Città,Regione,Primo_anno,Ultimo_anno,Url,Copertina,Latitudine,Longitudine
Acropoli,Firenze,Toscana,1911,1911,https://r.unitn.it/node/559,http://r.unitn.it/filesresearch/images/download/acropoli.pdf,43.7697955,11.2556404
L'Almanacco dei poeti,,,1971,1971,https://r.unitn.it/node/568,http://r.unitn.it/filesresearch/images/download/almanacco-poeti.pdf,46.3144754,11.0480288
L'Almanacco dei Visacci,Firenze,Toscana,1937,1940,https://r.unitn.it/node/569,http://r.unitn.it/filesresearch/images/download/almanacco-visacci.pdf,43.7697955,11.2556404
Almanacco della donna italiana,Firenze,Toscana,1920,1943,https://r.unitn.it/node/570,http://r.unitn.it/filesresearch/images/download/almanacco-donna-italiana.pdf,43.7697955,11.2556404
L'almanacco della voce,Firenze,Toscana,1915,1915,https://r.unitn.it/node/571,http://r.unitn.it/filesresearch/images/download/almanacco-della-voce.pdf,43.7697955,11.2556404
Altri termini,Napoli,Campania,1972,1991,https://r.unitn.it/node/2797,,40.8358846,14.2487679
L'Anima,Firenze,Toscana,1911,1911,https://r.unitn.it/node/572,http://r.unitn.it/filesresearch/images/download/anima.pdf,43.7697955,11.2556404
L'Approdo,Roma,Lazio,1952,1954,https://r.unitn.it/node/573,,41.8933203,12.4829321
Aretusa,Napoli,Campania,1944,1946,https://r.unitn.it/node/574,http://r.unitn.it/filesresearch/images/download/aretusa.pdf,40.8358846,14.2487679
Argomenti,Firenze,Toscana,1941,1943,https://r.unitn.it/node/575,http://r.unitn.it/filesresearch/images/download/argomenti.pdf,43.7697955,11.2556404
L'Atelier du Roman,Paris,,1993,in corso,https://r.unitn.it/node/866,http://r.unitn.it/filesresearch/images/download/atelier-2.pdf,48.8534951,2.3483915
La balza futurista,Messina,Sicilia,1915,1915,https://r.unitn.it/node/576,http://r.unitn.it/filesresearch/images/download/balza-futurista.pdf,38.1937571,15.5542082
Il Baretti,Torino,Piemonte,1924,1928,https://r.unitn.it/node/577,http://r.unitn.it/filesresearch/images/download/baretti.pdf,45.0677551,7.6824892
Beltempo,Torino,Piemonte,1940,1941,https://r.unitn.it/node/580,http://r.unitn.it/filesresearch/images/download/beltempo.pdf,45.0677551,7.6824892
