Anno,Austria,France,Germany,Romania,Spain,Switzerland,United Kingdom of Great Britain and Ireland,United States of America
1895,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0
1896,0.0,0.0,0.0,0.0,0.0,0.15357142857142858,0.0,0.0
1898,0.0,0.0,0.0,0.0,0.0,0.3107142857142857,0.0,0.0
1903,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.008602150537634409
1904,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.022386611690516613
1905,0.001976284584980237,0.034255599472990776,0.0,0.0,0.0,0.0013175230566534913,0.0026350461133069825,0.02568041933215034
1906,0.00259701704928812,0.09074225372500816,0.0,0.0,0.0,0.0025589879852692577,0.0057387084348464,0.0183197337231317
1907,0.004408611252186671,0.10885819575399368,0.0,0.0,0.0036231884057971015,0.0025589879852692577,0.0057387084348464,0.006346866773148045
1908,0.002432326667206434,0.12323481512598768,0.0,0.0,0.004636359631734285,0.005294149832364499,0.0031036623215394167,0.003053059131514317
1909,0.002306888903245257,0.07615876018055773,0.0,0.0004952947003467063,0.004636359631734285,0.004052684903748734,0.0009905894006934125,0.002306888903245257
1910,0.0012668996386183112,0.05804281815157222,0.0007716049382716049,0.0004952947003467063,0.0010131712259371835,0.004052684903748734,0.0009905894006934125,0.004353319391704731
1911,0.0012668996386183112,0.0133867424477405,0.0007716049382716049,0.0004952947003467063,0.0,0.0019880715705765406,0.001653279924218926,0.004353319391704731
1912,0.001489995742869306,0.003976143141153081,0.0007716049382716049,0.0,0.0,0.003424853179771943,0.0006626905235255135,0.005294806300553426
1913,0.0017060451255853555,0.008914414746091353,0.0009876543209876543,0.0,0.0004938271604938272,0.0049063346612534245,0.0006626905235255135,0.0019306087696892293
1914,0.0021926631304515355,0.010777687663332433,0.0029341263404523746,0.0,0.000980445165360007,0.0029182630906768835,0.0,0.0024172267745554096
1915,0.0014742723258538341,0.01461793343906208,0.0029341263404523746,0.0,0.001364469742932972,0.0022495306366274105,0.0,0.000980445165360007
1916,0.00048661800486618,0.011471776529464309,0.00194647201946472,0.0,0.0017666999301093958,0.0007680491551459293,0.0,0.0013826753525364311
1917,0.0,0.01833077316948285,0.0,0.003174603174603175,0.0012800819252432158,0.0007680491551459293,0.0,0.000896057347670251
1918,0.0,0.014490527393753201,0.0,0.003174603174603175,0.000896057347670251,0.0,0.0,0.000896057347670251
